job_seed,job_model,job_scheme_types,"backend","model","type","n_rounds","time","lognorm","relnorm","scheme","T"
929,Unid,SAIS,CPU,"Unid",SAIS,9,8.327679449,-25.415784013236213,0.4002027388166075,"SAIS{...}(9, 0.0:1.0:1.0)",512
929,Unid,SAIS,CPU,"Unid",SAIS,10,16.27076652,-24.93982514151135,0.6441490461648068,"SAIS{...}(10, 0.0:1.0:1.0)",1024
929,Unid,SAIS,GPU,"Unid",SAIS,5,0.014847358,-191.89798757980435,1.9951599224556987e-73,"SAIS{...}(5, 0.0:1.0:1.0)",32
929,Unid,SAIS,GPU,"Unid",SAIS,6,0.014971803,-56.537081516472256,1.2203159314728284e-14,"SAIS{...}(6, 0.0:1.0:1.0)",64
929,Unid,SAIS,GPU,"Unid",SAIS,7,0.029037793,-29.15002863737167,0.009561328115315964,"SAIS{...}(7, 0.0:1.0:1.0)",128
929,Unid,SAIS,GPU,"Unid",SAIS,8,0.057261732,-25.68745883921597,0.3049953222992908,"SAIS{...}(8, 0.0:1.0:1.0)",256
929,Unid,SAIS,GPU,"Unid",SAIS,9,0.087903182,-25.349226308890923,0.42774574703930707,"SAIS{...}(9, 0.0:1.0:1.0)",512
929,Unid,SAIS,GPU,"Unid",SAIS,10,0.130858575,-24.70342777429929,0.8159291332479358,"SAIS{...}(10, 0.0:1.0:1.0)",1024
876,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,3,8.048279871,-782.3502891101344,0.7044843866980791,"SAIS{...}(3, 0.0:1.0:1.0)",8
876,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,4,17.08160052,-780.9709251566076,2.7984756085010787,"SAIS{...}(4, 0.0:1.0:1.0)",16
876,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,5,35.055578601,-781.1407282521419,2.3614403433693627,"SAIS{...}(5, 0.0:1.0:1.0)",32
876,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,6,70.817380493,-780.9591661954468,2.831577012131962,"SAIS{...}(6, 0.0:1.0:1.0)",64
876,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,7,142.487772126,-781.8754395895623,1.1326504423024546,"SAIS{...}(7, 0.0:1.0:1.0)",128
876,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,8,286.276758334,-782.1620647738563,0.8503861199679092,"SAIS{...}(8, 0.0:1.0:1.0)",256
876,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,3,0.03102323,-782.3502946338921,0.7044804953078161,"SAIS{...}(3, 0.0:1.0:1.0)",8
876,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,4,0.048948272,-780.9709383655821,2.7984386437520796,"SAIS{...}(4, 0.0:1.0:1.0)",16
