job_seed,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type"
10,SimpleMixture,SAIS,Float32,128,0.043982536,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,256,0.044016631,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,512,0.043981018,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,1024,0.03597739,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,2048,0.035998061,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,4096,0.037436997,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,8192,0.035941515,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,16384,0.045459142,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,32768,0.058252948,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,65536,0.115022057,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,131072,0.192433014,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,262144,0.327983726,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,524288,0.606978903,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,1048576,1.486370852,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float32,2097152,2.620538598,"SimpleMixture",SAIS,GPU,"Float32"
10,SimpleMixture,SAIS,Float64,1,0.00241142,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,2,0.004652754,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,4,0.008883622,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,8,0.017464983,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,16,0.035243567,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,32,0.155491644,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,64,0.132767525,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,128,0.269225267,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,256,0.532176026,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,512,1.10011425,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,1024,2.145864808,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,2048,4.294814978,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,4096,8.61442578,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,8192,17.275104901,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,16384,34.538604227,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,32768,69.058308688,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,65536,138.201824427,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,131072,276.854310198,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,262144,552.714441097,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,524288,1104.926950757,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,1048576,2209.965027732,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,2097152,4418.61452668,"SimpleMixture",SAIS,CPU,"Float64"
10,SimpleMixture,SAIS,Float64,1,0.052933108,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,2,0.054999231,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,4,0.059990218,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,8,0.064985539,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,16,0.06998523,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,32,0.071987662,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,64,0.073898571,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,128,0.069990526,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,256,0.07600471,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,512,0.085973235,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,1024,0.08597779,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,2048,0.076986525,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,4096,0.076987252,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,8192,0.086018463,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,16384,0.087156828,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,32768,0.158132412,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,65536,0.267232886,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,131072,0.516439679,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,262144,0.910970386,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,524288,1.696973096,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,1048576,3.317486931,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,SAIS,Float64,2097152,6.597227165,"SimpleMixture",SAIS,GPU,"Float64"
10,SimpleMixture,ZJA,Float32,1,0.000196822,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,2,0.001414033,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,4,0.003583769,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,8,0.007474768,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,16,0.010339924,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,32,0.023711237,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,64,0.052387583,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,128,0.122617408,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,256,0.260509438,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,512,0.647022271,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,1024,1.208581945,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,2048,2.085212527,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,4096,4.145170504,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,8192,8.221581551,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,16384,17.650592152,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,32768,35.253070429,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,65536,70.253837053,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,131072,140.342803721,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,262144,280.935064767,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,524288,560.932369933,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,1048576,1122.027226785,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,2097152,2244.249503017,"SimpleMixture",ZJA,CPU,"Float32"
10,SimpleMixture,ZJA,Float32,1,0.09244326,"SimpleMixture",ZJA,GPU,"Float32"
10,SimpleMixture,ZJA,Float32,2,0.248402073,"SimpleMixture",ZJA,GPU,"Float32"
